target,Treatment,sex,ID,log_fold_change
KAT2B,ecig0,m,5,-0.2236667317223176
KAT2B,ecig0,m,6,0.36010267706910065
KAT2B,ecig0,m,7,-0.4653698562528401
KAT2B,ecig3,m,8,0.5414487456150023
KAT2B,ecig3,m,9,0.4330779471759692
KAT2B,ecig3,m,10,0.28003429738040175
KAT2B,ecig3,m,11,0.3853947958627945
KAT2B,ecig6,m,12,0.15523815846395822
KAT2B,ecig6,m,13,-0.420244496606823
KAT2B,ecig6,m,14,0.3456179565617388
KAT2B,control,f,15,0
KAT2B,control,f,16,0.15822816899889003
KAT2B,control,f,17,0.22238699300475123
KAT2B,ecig0,f,18,0.3876070050949308
KAT2B,ecig0,f,19,0.19767802951865676
KAT2B,ecig0,f,20,0.4244910063436559
KAT2B,ecig3,f,21,0.3342913417388851
KAT2B,ecig3,f,22,0.08004261152106949
KAT2B,ecig3,f,23,0.3459514375909353
KAT2B,ecig3,f,24,0.224947915383864
KAT2B,ecig6,f,25,-0.5234823121777913
KAT2B,ecig6,f,26,-0.31692474067103343
KAT2B,ecig6,f,27,0.054976927490115415
KAT5,control,m,2,0.004107614496832863
KAT5,control,m,3,0.08070529895352538
KAT5,control,m,4,0.09250188180560898
KAT5,ecig0,m,5,0.19974971794881655
KAT5,ecig0,m,6,0.22826659046806094
KAT5,ecig0,m,7,-0.755333387216221
KAT5,ecig3,m,8,-0.06963943631291823
KAT5,ecig3,m,9,-0.0491693966077671
KAT5,ecig3,m,10,-0.1582626670363942
KAT5,ecig3,m,11,-0.12695554748734036
KAT5,ecig6,m,12,0.15933487567495008
KAT5,ecig6,m,13,-0.07011500350006764
KAT5,ecig6,m,14,0.05933572141533092
KAT5,control,f,15,0
KAT5,control,f,16,-0.06691457299816644
KAT5,control,f,17,-0.05821239788351168
KAT5,ecig0,f,18,0.05000367113774924
KAT5,ecig0,f,19,0.034088997944983275
KAT5,ecig0,f,20,0.022545822143250595
KAT5,ecig3,f,21,-0.13787059410012098
KAT5,ecig3,f,22,0.008430886882560931
KAT5,ecig3,f,23,-0.13627874748304875
KAT5,ecig3,f,24,-0.09197435684120608
KAT5,ecig6,f,25,-0.04149024183037734
KAT5,ecig6,f,26,0.08692987679186776
KAT5,ecig6,f,27,-0.11353996511257694
MED1,control,m,2,0.024130925688418188
MED1,control,m,3,0.060366508326483936
MED1,control,m,4,0.02896317959081673
MED1,ecig0,m,5,0.5020611983043389
MED1,ecig0,m,6,0.6475113664592829
